Video,Video title,Device,Views,Watch time (hours)
UB1BeDJjhuY,Learn JavaScript functions in 4 minutes!,MOBILE,11,0.1333
UB1BeDJjhuY,Learn JavaScript functions in 4 minutes!,TABLET,2,0.05
UucfDJm1vSA,The easiest way to implement modals in HTML!,DESKTOP,327,1.0
UucfDJm1vSA,The easiest way to implement modals in HTML!,TV,9,0.0333
UucfDJm1vSA,The easiest way to implement modals in HTML!,MOBILE,1565,3.2333
UucfDJm1vSA,The easiest way to implement modals in HTML!,TABLET,71,0.8667
crAXFD7eMgo,Create a Django app with uv as package manager #pythontutorial,DESKTOP,116,1.65
crAXFD7eMgo,Create a Django app with uv as package manager #pythontutorial,TV,4,0.0333
crAXFD7eMgo,Create a Django app with uv as package manager #pythontutorial,MOBILE,172,0.8333
crAXFD7eMgo,Create a Django app with uv as package manager #pythontutorial,TABLET,17,0.05
h4m4Q_x4UEk,Easy React Animations for Beginners Using GSAP,DESKTOP,61,0.4667
h4m4Q_x4UEk,Easy React Animations for Beginners Using GSAP,MOBILE,177,0.9833
h4m4Q_x4UEk,Easy React Animations for Beginners Using GSAP,TABLET,13,0.0333
hucEQYNy1Ns,JavaScript Secrets For Reading Web Pages!  #javascripttutorial,DESKTOP,216,0.8667
hucEQYNy1Ns,JavaScript Secrets For Reading Web Pages!  #javascripttutorial,TV,8,0.0167
hucEQYNy1Ns,JavaScript Secrets For Reading Web Pages!  #javascripttutorial,MOBILE,958,3.8
hucEQYNy1Ns,JavaScript Secrets For Reading Web Pages!  #javascripttutorial,TABLET,29,0.0333
mJpnVc9YaEI,TanStack Router setup for React in 15 minutes! - Part 7,DESKTOP,302,15.3333
mJpnVc9YaEI,TanStack Router setup for React in 15 minutes! - Part 7,TV,22,2.4667
mJpnVc9YaEI,TanStack Router setup for React in 15 minutes! - Part 7,MOBILE,103,4.4333
mJpnVc9YaEI,TanStack Router setup for React in 15 minutes! - Part 7,TABLET,26,1.8167
