Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers gained,Subscribers lost,Net subscribers,Likes,Dislikes,Comments added,Shares,Impressions,Impressions click-through rate (%),Average view duration,Average percentage viewed (%)
SQO6sQYAidk,Canon EOS R in 2026? Absolutely!,"Jun 17, 2025",16,32527,85.6,21,2,19,441,0,10,17,0,0.0,00:00:17,108.21
VIHwLnXRfSU,How to setup Canon BR-E1 wireless remote control #photography #tutorial,"Jun 27, 2025",47,18684,165.3833,7,1,6,190,0,8,52,0,0.0,00:01:00,128.15
9qrGtf4o0gM,The Canon Selphy CP1300 is my best accessory as photographer #photoprint #selphy,"Oct 10, 2025",33,13892,73.7167,6,0,6,123,0,4,82,0,0.0,00:00:30,92.85
N9Zdj8e95HM,How to setup a Retropia lens with your camera #canonrf,"Aug 21, 2025",52,7607,58.2667,0,0,0,119,0,2,19,0,0.0,00:00:47,91.17
CiKLlRA2pvc,Loading film in a Olympus Mju II,"Oct 11, 2025",15,4402,11.2333,0,0,0,17,0,0,4,0,0.0,00:00:19,127.02
iPwzoqGuyNM,Tenba Axis V2 24L fit test,"Aug 31, 2024",16,3667,12.0333,0,0,0,25,0,1,7,0,0.0,00:00:16,104.47
0pJPUOXmVww,Canon EOS R + DJI Osmo Pocket 3,"Sep 16, 2025",12,3040,5.5333,0,0,0,27,0,1,1,0,0.0,00:00:12,106.24
P6TpcCULFeM,Fujifilm X RAW Studio - Easy Way to Export Stunning JPEGs From RAW Photos!,"Nov 24, 2024",478,1718,60.7833,4,0,4,31,0,0,8,0,0.0,00:02:07,26.65
L_7x-qmz320,Canon EOS R at the Portland waterfront #photography #pov,"Jun 18, 2025",28,1717,2.55,2,0,2,18,0,0,0,0,0.0,00:00:13,48.4
dMryI3iZgIQ,POV you’re taking photos in the Ladds 500 #portland,"Apr 14, 2025",61,1404,3.1,0,0,0,5,0,0,0,0,0.0,00:00:18,29.56
J4aH-k6SVbQ,Canon EOS R with a Retropia lens. Bike riding! #canoneosr,"Oct 08, 2025",47,1308,3.9333,2,0,2,23,0,0,1,0,0.0,00:00:19,42.42
dt6pK8EZeyg,Rainy day street photography in downtown Portland: Fuji X100V + Insta360 Go,"Dec 19, 2025",57,1262,4.1167,3,0,3,59,0,1,1,0,0.0,00:00:19,34.45
sy9hZBks2WQ,Food photography before and after edits,"Jun 25, 2025",18,1240,1.75,2,1,1,4,0,0,0,0,0.0,00:00:14,79.02
Uy8WJMtn238,Fuji X100V in 2026? Yes please! #streetphotography,"Feb 05, 2026",59,1105,2.3167,1,0,1,30,0,1,0,0,0.0,00:00:13,22.13
CVRpqsEJVOo,Motionlapse with DJI Osmo Pocket 3 #dji #osmopocket3 #motionlapse,"Sep 03, 2024",18,1104,4.35,1,0,1,18,0,2,1,0,0.0,00:00:16,90.86
Fcm8fdsTPc0,DJI Mini 4 Pro test flight in vertical resolution #djimini4pro #dronevideo #dji,"Sep 14, 2024",26,781,3.9,0,0,0,11,0,0,0,0,0.0,00:00:18,70.77
vfzwBBAZvPE,Endless possibilities with #Insta360 Go 3S and this Smallrig mount #insta360go3s #smallrig,"Aug 17, 2024",31,559,1.8667,0,0,0,5,0,0,0,0,0.0,00:00:12,39.62
Suyj-gDqNFM,Osmo Pocket 3 Creator Combo unboxing #osmopocket3 #dji,"Jul 17, 2024",58,485,3.5833,1,0,1,16,0,0,0,0,0.0,00:00:27,47.08
ypJIoJBYxgA,Insta360 Go 3S Unboxing #insta360 #insta360go3s,"Aug 16, 2024",42,364,3.15,1,0,1,4,0,0,0,0,0.0,00:00:32,77.4
ZpeTDWDj2ro,DJI Mini 4 Pro Drone in Portland Oregon,"Jun 19, 2025",42,224,0.3167,0,0,0,3,0,0,0,0,0.0,00:00:19,45.98
QjwPFM9N9jA,Experimenting with the Osmo Pocket 3 on a magnetic mount #osmopocket3 #dji,"Jul 27, 2024",23,174,0.9667,0,0,0,3,0,0,0,0,0.0,00:00:22,97.66
JFneaU7uqNQ,Food photography: Oreos and milk,"Jun 30, 2025",8,154,0.1333,0,0,0,2,0,0,0,0,0.0,00:00:08,108.13
nAPI2t0iDsc,DJI Mini 4 Pro footage  - Portland Oregon 4k,"Jul 14, 2024",48,149,1.2833,1,0,1,10,0,3,7,0,0.0,00:00:31,64.92
p9Fafrf0dYA,POV you&#39;re taking photos in a late summer evening,"Sep 14, 2024",19,126,0.4167,0,0,0,5,0,1,0,0,0.0,00:00:13,71.84
xnq54n9WYfs,POV Photography with Canon EOS R  #foodphotography,"Jun 22, 2025",15,104,0.25,0,0,0,2,0,0,0,0,0.0,00:00:16,108.4
zQu9YXcs5hU,Osmo Pocket 3 Timelapse Valle de La Luna,"May 31, 2025",15,38,0.0333,0,0,0,1,0,0,0,0,0.0,00:00:10,69.67
Total,,,,97835,510.5666,52,4,48,1192,0,34,200,0,0.0,,
