Date,Content,Video title,Video publish time,Duration,Views,Watch time (hours)
2024-07-14,nAPI2t0iDsc,DJI Mini 4 Pro footage  - Portland Oregon 4k,"Jul 14, 2024",48,19,0.15
2024-07-15,nAPI2t0iDsc,DJI Mini 4 Pro footage  - Portland Oregon 4k,"Jul 14, 2024",48,4,0.0167
2024-07-16,nAPI2t0iDsc,DJI Mini 4 Pro footage  - Portland Oregon 4k,"Jul 14, 2024",48,11,0.0833
2024-07-17,Suyj-gDqNFM,Osmo Pocket 3 Creator Combo unboxing #osmopocket3 #dji,"Jul 17, 2024",58,408,2.9167
2024-07-17,nAPI2t0iDsc,DJI Mini 4 Pro footage  - Portland Oregon 4k,"Jul 14, 2024",48,4,0.0167
2024-07-18,Suyj-gDqNFM,Osmo Pocket 3 Creator Combo unboxing #osmopocket3 #dji,"Jul 17, 2024",58,5,0.0667
2024-07-18,nAPI2t0iDsc,DJI Mini 4 Pro footage  - Portland Oregon 4k,"Jul 14, 2024",48,3,0.0167
2024-07-19,Suyj-gDqNFM,Osmo Pocket 3 Creator Combo unboxing #osmopocket3 #dji,"Jul 17, 2024",58,15,0.0833
2024-07-20,Suyj-gDqNFM,Osmo Pocket 3 Creator Combo unboxing #osmopocket3 #dji,"Jul 17, 2024",58,12,0.1
2024-07-20,nAPI2t0iDsc,DJI Mini 4 Pro footage  - Portland Oregon 4k,"Jul 14, 2024",48,1,0.0
2024-07-21,Suyj-gDqNFM,Osmo Pocket 3 Creator Combo unboxing #osmopocket3 #dji,"Jul 17, 2024",58,1,0.0
2024-07-22,Suyj-gDqNFM,Osmo Pocket 3 Creator Combo unboxing #osmopocket3 #dji,"Jul 17, 2024",58,12,0.1167
2024-07-22,nAPI2t0iDsc,DJI Mini 4 Pro footage  - Portland Oregon 4k,"Jul 14, 2024",48,1,0.0
2024-07-23,Suyj-gDqNFM,Osmo Pocket 3 Creator Combo unboxing #osmopocket3 #dji,"Jul 17, 2024",58,2,0.0
2024-07-24,nAPI2t0iDsc,DJI Mini 4 Pro footage  - Portland Oregon 4k,"Jul 14, 2024",48,1,0.0
2024-07-25,Suyj-gDqNFM,Osmo Pocket 3 Creator Combo unboxing #osmopocket3 #dji,"Jul 17, 2024",58,0,0.0
2024-07-26,Suyj-gDqNFM,Osmo Pocket 3 Creator Combo unboxing #osmopocket3 #dji,"Jul 17, 2024",58,1,0.0
2024-07-27,QjwPFM9N9jA,Experimenting with the Osmo Pocket 3 on a magnetic mount #osmopocket3 #dji,"Jul 27, 2024",23,7,0.1333
2024-07-27,nAPI2t0iDsc,DJI Mini 4 Pro footage  - Portland Oregon 4k,"Jul 14, 2024",48,1,0.0
2024-07-28,QjwPFM9N9jA,Experimenting with the Osmo Pocket 3 on a magnetic mount #osmopocket3 #dji,"Jul 27, 2024",23,7,0.0333
2024-07-28,Suyj-gDqNFM,Osmo Pocket 3 Creator Combo unboxing #osmopocket3 #dji,"Jul 17, 2024",58,1,0.0
2024-07-29,Suyj-gDqNFM,Osmo Pocket 3 Creator Combo unboxing #osmopocket3 #dji,"Jul 17, 2024",58,1,0.0
2024-07-29,nAPI2t0iDsc,DJI Mini 4 Pro footage  - Portland Oregon 4k,"Jul 14, 2024",48,1,0.0
2024-07-30,QjwPFM9N9jA,Experimenting with the Osmo Pocket 3 on a magnetic mount #osmopocket3 #dji,"Jul 27, 2024",23,2,0.0
2024-07-30,nAPI2t0iDsc,DJI Mini 4 Pro footage  - Portland Oregon 4k,"Jul 14, 2024",48,1,0.0333
